装修中80个增项漏项,,,,,,,
拆除阶段,,,,,,,
28,防水材料,辅料的所有品牌都要确定好，具体的规格型号，在开工前都要写明，不然后期用不好的，再换就要你升级加钱。,,,,,
29,闭水实验,这个是一定要做的，保证24小时以上，去楼下验收没有漏水情况，在开始进行下一步,,,,,
30,厨房防水,这个主要看厨房有没有地漏，没有地漏都不用做防水，这项就可以去掉，省一笔。,,,,,
31,水管打压,这个在水路铺设完之后，一定要打压测试下，一般是半个小时8个压，看是否有掉压，拿纸巾检查每个接头处是否有漏水。,,,,,
木工阶段,,,,,,,
序号,增项漏项,具体内容,,,,,
32,吊顶品牌,问清楚吊顶所用品牌是什么，是否包括辅料费用，单层和双层分别什么价位。,,,,,
33,龙骨材料,确认木龙骨还是轻钢龙骨，建议不做复杂造型的情况都用轻钢龙骨；防潮性也更好。确认龙骨和石膏板的品牌、型号规格是什么;,,,,,
34,吊顶工艺,吊顶转角采用7字型，拼接处挂网贴牛皮纸，摸防锈钉，细节一定要做好，不然后期很容易开裂。,,,,,
35,窗帘盒,装修公司不包窗帘盒，属于个性化项目，一般300-500元每个或者按照米数来收费,,,,,
36,石膏线,不做吊顶，可贴石膏线，主要是美观:顶面走线不直、隐藏房顶的电线，也可贴石膏线装饰。石膏线按米来收费，同时要确认贴单层多少钱，贴双层多少钱,,,,,
37,木工打柜子,提前和师傅确认好板材的品牌，做弧形怎么收费，胶是用的什么品牌，让木工算算怎么切割板子更省材料，一般良心的木工师傅都会给你算的,,,,,
38,木地板铺贴,木地板的收费标准是工字铺，如果要做鱼骨铺、人字铺等，又是另一笔费用。在报价 阶段，就要谈好木地板的铺贴工艺。或者，也可让木地板商家来铺。,,,,,
39,踢脚线 ,这一项比较容易漏，按米收费，前期要是忘了，又是一笔不低的人工费；,,,,,
40,门套窗套,按米收费，全屋门窗不少，米数也不少，提前确认要不要贴门套床套，贴什么材质 的，并且确认好人工费；,,,,,
41,电视背景墙,可用岩板大理石材或者石膏板，人工费不低，提前确认；,,,,,
42,地面保护费,主要是为了避免后期施工破坏地面瓷砖或木地板，要铺上层保护膜，一般是10-15元/米,,,,,
瓦工阶段,,,,,,,
序号,增项漏项,具体内容,,,,,
43,地面找平,铺木地板，需要提前找平地面；铺瓷砖，师傅直接用水泥砂浆找平，不需要单独找 平 ；,,,,,
44,美缝,美缝有炫彩美缝、聚脲、环氧、瓷缝、勾缝问清楚人工费和材料费用各多少钱；用的什么品牌的美缝。,,,,,
45,包下水管,卫生间、阳台都会有下水管，要把他们包起来才能隔音。提前确认家里有多少根管子，是单管、双管、还是三管。问清具体的收费，用红砖包还是石膏板包，要求加上隔音棉和阻尼。,,,,,
46,外窗台坡度,为了避免外窗台积水，和瓦工师傅提前沟通好，外窗台都要做好坡度，内高外地。,,,,,
47,瓷砖海棠角,墙砖收口一般是贴阳角条，如果想要更美观，可做45度碰角，也就是海棠角，也需 提前沟通是否单独加钱。,,,,,
48,瓷砖尺寸,如果选用大砖，比如600*1200或者750*1500的瓷砖，以及如果想铺贴多变型的瓷砖，是否需要增加人工费用，这个也是需提前沟通好费用的。,,,,,
49,地砖上墙,,,,,,
50,瓷砖通铺,签订合同前，需要确认瓷砖全屋通铺是否需要增加费用，通铺会比较麻烦,,,,,
51,过门石、窗台石,这两样的铺贴费用装修公司一般不包，要提前谈好相应的 费 用 ；,,,,,
52,卫生间找坡度,卫生间贴砖时一定要找坡度，做回字形地漏，确保排水顺畅。,,,,,
53,确认工艺,墙压地还是地压墙，墙压地会更美观，没有朝天缝。,,,,,
54,墙面拉毛,墙面贴瓷砖，要先在墙面上拉毛才能增强和瓷砖的摩察力。,,,,,
55,单包套,和师傅确认好门是单包套还是双包套，单包套的话需要定制门安装好以后再补贴门洞瓷砖,,,,,
56,瓷砖表面及缝隙,贴完砖以后让师傅及时清洁瓷砖表面及清缝，特别是柔光砖，水泥污迹留存时间太久不容易清理，不及时清缝到后面美缝时就只有用清缝机了，那玩意儿特别容易绷瓷,,,,,
57,壁龛,要做壁龛的话，要找好坡度，不然洗澡时很容易积水,,,,,
58,贴好水电标识,贴完砖以后，做好水电标识，不然后期安装五金件时一不小心把线管、水管打爆，再返工就是大工程了,,,,,
油漆阶段,,,,,,,
序号,增项漏项,具体内容,,,,,
59,刮腻子,新房建议刮2次腻子，老房刮3次腻子，刮好之后，要打磨，注意报价单是否写清楚 了数量，一定要注意，每遍干了之后在进行下一边。,,,,,
60,腻子品牌,很多老师傅都喜欢腻子粉加胶水，这已经淘汰了，跟师傅确认好用成品腻子，直接加水就可以，南方潮湿地区用耐水腻子，强度高，防潮性更好。,,,,,
61,墙面基层处理,在刮腻子前，要对墙顶面进行处理，如嵌缝石膏修补线槽、墙角补阴阳角条等，提前确认是否包含了所有墙面基层处理工作，并确认 具体费用；粗找平用石膏，精找平用腻子，腻子不易批刮太厚。,,,,,
62,墙面挂网,如果新房，墙面质量还可以就不需要全屋挂网，局部地方，如水电开槽，烟道地方挂网就可以了,,,,,
63,乳胶漆工艺,乳胶漆遵循“一底两面”的原则， 一次底漆，两次面漆，底漆不能省；,,,,,
64,乳胶漆颜色,装修公司通常包3种浅色系，如果超过3种，会额外计费；,,,,,
65,深色乳胶漆 ,如果涂刷深色乳胶漆，工人需要更多时间来调色和涂刷，人工费也会高,,,,,
全包注意事项,,,,,,,
序号,增项漏项,具体内容,,,,,
66,全屋主材品牌,除了品牌，要确认具体型号、规格、产地等，避免用正版的价格买到代加工的产品,,,,,
67,橱柜的项目,一定要把你的橱柜样式、抽屉数量、拉篮数量等全部发给装修公司，让他们重新算总价，还会有各种限制，比如要在3米以内，吊柜不超过地柜的二分之一等。,,,,,
68,封窗,这个建议自己找人做，不要包给装修公司，这里水太深，自己多跑几家对比价格,,,,,
69,主材样式,再签合同签要提前逛逛装修公司的主材选购区，因为套餐里的主材可能很多都不满意，比如看上另一款地板，或者套餐里的瓷砖尺寸不合适，能不能更换，升级要花多少钱。,,,,,
70,地板,地板分很多种，强化地板，三层实木地板，多层实木，新三层要问清楚套餐内的是什么，更换要多少钱。,,,,,
71,卫生间,有的套餐只包一个卫生间，如果你家有两个卫生间或者要增加一个卫生间，要确认 费 用 .,,,,,
72,开关插座的数量,如果套餐里含35个，你要做60个，也是要多交钱的；,,,,,
73,主材的保质期,主材是装修公司负责，要负责售后，比如浴室柜、瓷砖等。确认清楚质保期多长出了问题多少时间能上门维修。,,,,,
报价单/合同部分,,,,,,,
序号,增项漏项,具体内容,,,,,
74,报价拆分很细,本来应该是一个完整的项目，但却被拆分成好几个项目进行报价，看起来单价很低，实际却是贵的离谱;比如瓷砖的水泥砂浆费、瓷砖切割、瓷砖铺贴费本来是一个完整的项目，但它分开计费，这价格就不一样了。,,,,,
75,数量乱报,数量乱写是常见操作之一，目的就是为了让客户感觉到实惠，尽快签合同:比如拆墙，实际拆除是6平方，但报价单中写的只有3平方，等做完之后再给你算最终价格,,,,,
76,材料不写品牌规格,主材和辅材要提前问好品牌型号，并且签在报价单或合同中，方便材料进场验收，也避免后期发现是不理想的材料，然后再被迫升级材料。,,,,,
77,工艺不清楚,施工工艺在报价单中要进行详细注明，明确施工具体所包含的内容，避免后期隐开增项费用，工艺也决定了工程质量,,,,,
78,质保 ,国家强制规定水电质保5年，表面工程质保2年，注意合同上是否 写 清 。,,,,,
79,装修管理费,装修公司通常有一笔管理费，收取合同款的3%-10%不等，签合同之前能砍砍价或 者直接免除.,,,,,
80,增项约束,为了避免后期增项带来不必要的麻烦，要在合同中约定增项比例，超出一定比例，则超出部分不予支付。,,,,,
 ,,,,,,,
